Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
USERS_TR_GETUSERPROFILE - 8,1,1114,1114,1114,0.00,0.000%,.89767,0.76,0.44,865.0
USERS_TR_GETUSERPROFILE - 17,1,1073,1073,1073,0.00,0.000%,.93197,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 7,1,853,853,853,0.00,0.000%,1.17233,0.99,0.58,866.0
USERS_TR_GETUSERPROFILE - 18,1,852,852,852,0.00,0.000%,1.17233,0.99,0.58,866.0
USERS_TR_GETUSERPROFILE - 22,1,852,852,852,0.00,0.000%,1.17233,0.99,0.58,865.0
USERS_TR_GETUSERPROFILE - 29,1,947,947,947,0.00,0.000%,1.05597,0.89,0.52,865.0
USERS_TR_GETUSERPROFILE - 15,1,1110,1110,1110,0.00,0.000%,.90090,0.76,0.44,866.0
USERS_TR_GETUSERPROFILE - 33,1,820,820,820,0.00,0.000%,1.21951,1.03,0.60,865.0
USERS_TR_ADDUSER - 32,1,1164,1164,1164,0.00,0.000%,.85837,1.06,0.43,1270.0
USERS_TR_GETUSERPROFILE - 37,1,751,751,751,0.00,0.000%,1.33156,1.12,0.66,864.0
USERS_TR_ADDUSER - 39,1,1162,1162,1162,0.00,0.000%,.85985,1.07,0.43,1270.0
USERS_TR_ADDUSER - 23,1,1259,1259,1259,0.00,0.000%,.79365,0.98,0.40,1270.0
USERS_TR_ADDUSER - 31,1,1234,1234,1234,0.00,0.000%,.81037,1.00,0.40,1269.0
USERS_TR_ADDUSER - 26,1,1183,1183,1183,0.00,0.000%,.84531,1.05,0.42,1270.0
USERS_TR_ADDUSER - 56,1,1181,1181,1181,0.00,0.000%,.84317,1.04,0.42,1269.0
USERS_TR_ADDUSER - 50,1,1193,1193,1193,0.00,0.000%,.83752,1.04,0.42,1269.0
USERS_TR_ADDUSER - 43,1,1145,1145,1145,0.00,0.000%,.87260,1.08,0.44,1269.0
